params_types_unique	return_types_unique	image_types	images_types	unsupported_types	first_image_param_names	subsequent_image_param_names	signatures	signatures_filtered
						lowerb	clipLine(imgRect: cv2.typing.Rect, pt1: cv2.typing.Point, pt2: cv2.typing.Point) -> tuple[bool, cv2.typing.Point, cv2.typing.Point]	connectedComponentsWithAlgorithm(image: UMat, connectivity: int, ltype: int, ccltype: int, labels: UMat | None) -> tuple[int, UMat]
						map2	colorChange(src: cv2.typing.MatLike, mask: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, red_mul: float, green_mul: float, blue_mul: float) -> cv2.typing.MatLike	connectedComponentsWithStats(image: cv2.typing.MatLike, labels: cv2.typing.MatLike | None, stats: cv2.typing.MatLike | None, centroids: cv2.typing.MatLike | None, connectivity: int, ltype: int) -> tuple[int, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]
						H2	colorChange(src: UMat, mask: UMat, dst: UMat | None, red_mul: float, green_mul: float, blue_mul: float) -> UMat	connectedComponentsWithStats(image: UMat, labels: UMat | None, stats: UMat | None, centroids: UMat | None, connectivity: int, ltype: int) -> tuple[int, UMat, UMat, UMat]
						cameraMatrix3	compare(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, cmpop: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	connectedComponentsWithStatsWithAlgorithm(image: cv2.typing.MatLike, connectivity: int, ltype: int, ccltype: int, labels: cv2.typing.MatLike | None, stats: cv2.typing.MatLike | None, centroids: cv2.typing.MatLike | None) -> tuple[int, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]
						dy	compare(src1: UMat, src2: UMat, cmpop: int, dst: UMat | None) -> UMat	connectedComponentsWithStatsWithAlgorithm(image: UMat, connectivity: int, ltype: int, ccltype: int, labels: UMat | None, stats: UMat | None, centroids: UMat | None) -> tuple[int, UMat, UMat, UMat]
						ky	compareHist(H1: cv2.typing.MatLike, H2: cv2.typing.MatLike, method: int) -> float	contourArea(contour: cv2.typing.MatLike, oriented: bool) -> float
						imagePoints	compareHist(H1: UMat, H2: UMat, method: int) -> float	contourArea(contour: UMat, oriented: bool) -> float
						reprojectionError	completeSymm(m: cv2.typing.MatLike, lowerToUpper: bool) -> cv2.typing.MatLike	convertFp16(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
						cameraMatrix1	completeSymm(m: UMat, lowerToUpper: bool) -> UMat	convertFp16(src: UMat, dst: UMat | None) -> UMat
						grayscale	composeRT(rvec1: cv2.typing.MatLike, tvec1: cv2.typing.MatLike, rvec2: cv2.typing.MatLike, tvec2: cv2.typing.MatLike, rvec3: cv2.typing.MatLike | None, tvec3: cv2.typing.MatLike | None, dr3dr1: cv2.typing.MatLike | None, dr3dt1: cv2.typing.MatLike | None, dr3dr2: cv2.typing.MatLike | None, dr3dt2: cv2.typing.MatLike | None, dt3dr1: cv2.typing.MatLike | None, dt3dt1: cv2.typing.MatLike | None, dt3dr2: cv2.typing.MatLike | None, dt3dt2: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]	convertMaps(map1: cv2.typing.MatLike, map2: cv2.typing.MatLike, dstmap1type: int, dstmap1: cv2.typing.MatLike | None, dstmap2: cv2.typing.MatLike | None, nninterpolation: bool) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
						nidx	composeRT(rvec1: UMat, tvec1: UMat, rvec2: UMat, tvec2: UMat, rvec3: UMat | None, tvec3: UMat | None, dr3dr1: UMat | None, dr3dt1: UMat | None, dr3dr2: UMat | None, dr3dt2: UMat | None, dt3dr1: UMat | None, dt3dt1: UMat | None, dt3dr2: UMat | None, dt3dt2: UMat | None) -> tuple[UMat, UMat, UMat, UMat, UMat, UMat, UMat, UMat, UMat, UMat]	convertMaps(map1: UMat, map2: UMat, dstmap1type: int, dstmap1: UMat | None, dstmap2: UMat | None, nninterpolation: bool) -> tuple[UMat, UMat]
						rotMatrix	computeCorrespondEpilines(points: cv2.typing.MatLike, whichImage: int, F: cv2.typing.MatLike, lines: cv2.typing.MatLike | None) -> cv2.typing.MatLike	convertPointsFromHomogeneous(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
						prevPts	computeCorrespondEpilines(points: UMat, whichImage: int, F: UMat, lines: UMat | None) -> UMat	convertPointsFromHomogeneous(src: UMat, dst: UMat | None) -> UMat
						tvec2	computeECC(templateImage: cv2.typing.MatLike, inputImage: cv2.typing.MatLike, inputMask: cv2.typing.MatLike | None) -> float	convertPointsToHomogeneous(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
						R	computeECC(templateImage: UMat, inputImage: UMat, inputMask: UMat | None) -> float	convertPointsToHomogeneous(src: UMat, dst: UMat | None) -> UMat
						inliers	connectedComponents(image: cv2.typing.MatLike, labels: cv2.typing.MatLike | None, connectivity: int, ltype: int) -> tuple[int, cv2.typing.MatLike]	convertScaleAbs(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, alpha: float, beta: float) -> cv2.typing.MatLike
						newCameraMatrix	connectedComponents(image: UMat, labels: UMat | None, connectivity: int, ltype: int) -> tuple[int, UMat]	convertScaleAbs(src: UMat, dst: UMat | None, alpha: float, beta: float) -> UMat
						inpaintMask	connectedComponentsWithAlgorithm(image: cv2.typing.MatLike, connectivity: int, ltype: int, ccltype: int, labels: cv2.typing.MatLike | None) -> tuple[int, cv2.typing.MatLike]	convexHull(points: cv2.typing.MatLike, hull: cv2.typing.MatLike | None, clockwise: bool, returnPoints: bool) -> cv2.typing.MatLike
						Qy	connectedComponentsWithAlgorithm(image: UMat, connectivity: int, ltype: int, ccltype: int, labels: UMat | None) -> tuple[int, UMat]	convexHull(points: UMat, hull: UMat | None, clockwise: bool, returnPoints: bool) -> UMat
						dABdA	connectedComponentsWithStats(image: cv2.typing.MatLike, labels: cv2.typing.MatLike | None, stats: cv2.typing.MatLike | None, centroids: cv2.typing.MatLike | None, connectivity: int, ltype: int) -> tuple[int, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]	convexityDefects(contour: cv2.typing.MatLike, convexhull: cv2.typing.MatLike, convexityDefects: cv2.typing.MatLike | None) -> cv2.typing.MatLike
						high	connectedComponentsWithStats(image: UMat, labels: UMat | None, stats: UMat | None, centroids: UMat | None, connectivity: int, ltype: int) -> tuple[int, UMat, UMat, UMat]	convexityDefects(contour: UMat, convexhull: UMat, convexityDefects: UMat | None) -> UMat
						mtxR	connectedComponentsWithStatsWithAlgorithm(image: cv2.typing.MatLike, connectivity: int, ltype: int, ccltype: int, labels: cv2.typing.MatLike | None, stats: cv2.typing.MatLike | None, centroids: cv2.typing.MatLike | None) -> tuple[int, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]	copyMakeBorder(src: cv2.typing.MatLike, top: int, bottom: int, left: int, right: int, borderType: int, dst: cv2.typing.MatLike | None, value: cv2.typing.Scalar) -> cv2.typing.MatLike
						points2	connectedComponentsWithStatsWithAlgorithm(image: UMat, connectivity: int, ltype: int, ccltype: int, labels: UMat | None, stats: UMat | None, centroids: UMat | None) -> tuple[int, UMat, UMat, UMat]	copyMakeBorder(src: UMat, top: int, bottom: int, left: int, right: int, borderType: int, dst: UMat | None, value: cv2.typing.Scalar) -> UMat
						rvec	contourArea(contour: cv2.typing.MatLike, oriented: bool) -> float	copyTo(src: cv2.typing.MatLike, mask: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
						Qx	contourArea(contour: UMat, oriented: bool) -> float	copyTo(src: UMat, mask: UMat, dst: UMat | None) -> UMat
						dt3dt1	convertFp16(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	cornerEigenValsAndVecs(src: cv2.typing.MatLike, blockSize: int, ksize: int, dst: cv2.typing.MatLike | None, borderType: int) -> cv2.typing.MatLike
						Constr	convertFp16(src: UMat, dst: UMat | None) -> UMat	cornerEigenValsAndVecs(src: UMat, blockSize: int, ksize: int, dst: UMat | None, borderType: int) -> UMat
						dstmap2	convertMaps(map1: cv2.typing.MatLike, map2: cv2.typing.MatLike, dstmap1type: int, dstmap1: cv2.typing.MatLike | None, dstmap2: cv2.typing.MatLike | None, nninterpolation: bool) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	cornerHarris(src: cv2.typing.MatLike, blockSize: int, ksize: int, k: float, dst: cv2.typing.MatLike | None, borderType: int) -> cv2.typing.MatLike
						color_boost	convertMaps(map1: UMat, map2: UMat, dstmap1type: int, dstmap1: UMat | None, dstmap2: UMat | None, nninterpolation: bool) -> tuple[UMat, UMat]	cornerHarris(src: UMat, blockSize: int, ksize: int, k: float, dst: UMat | None, borderType: int) -> UMat
						P2	convertPointsFromHomogeneous(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	cornerMinEigenVal(src: cv2.typing.MatLike, blockSize: int, dst: cv2.typing.MatLike | None, ksize: int, borderType: int) -> cv2.typing.MatLike
						approxCurve	convertPointsFromHomogeneous(src: UMat, dst: UMat | None) -> UMat	cornerMinEigenVal(src: UMat, blockSize: int, dst: UMat | None, ksize: int, borderType: int) -> UMat
						outImg	convertPointsToHomogeneous(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	cornerSubPix(image: cv2.typing.MatLike, corners: cv2.typing.MatLike, winSize: cv2.typing.Size, zeroZone: cv2.typing.Size, criteria: cv2.typing.TermCriteria) -> cv2.typing.MatLike
						low	convertPointsToHomogeneous(src: UMat, dst: UMat | None) -> UMat	cornerSubPix(image: UMat, corners: UMat, winSize: cv2.typing.Size, zeroZone: cv2.typing.Size, criteria: cv2.typing.TermCriteria) -> UMat
						T12	convertScaleAbs(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, alpha: float, beta: float) -> cv2.typing.MatLike	correctMatches(F: cv2.typing.MatLike, points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, newPoints1: cv2.typing.MatLike | None, newPoints2: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
						pointsMask	convertScaleAbs(src: UMat, dst: UMat | None, alpha: float, beta: float) -> UMat	correctMatches(F: UMat, points1: UMat, points2: UMat, newPoints1: UMat | None, newPoints2: UMat | None) -> tuple[UMat, UMat]
						stdDeviationsObjPoints	convexHull(points: cv2.typing.MatLike, hull: cv2.typing.MatLike | None, clockwise: bool, returnPoints: bool) -> cv2.typing.MatLike	countNonZero(src: cv2.typing.MatLike) -> int
						E	convexHull(points: UMat, hull: UMat | None, clockwise: bool, returnPoints: bool) -> UMat	countNonZero(src: UMat) -> int
						vt	convexityDefects(contour: cv2.typing.MatLike, convexhull: cv2.typing.MatLike, convexityDefects: cv2.typing.MatLike | None) -> cv2.typing.MatLike	createAffineTransformer(fullAffine: bool) -> AffineTransformer
						tvec3	convexityDefects(contour: UMat, convexhull: UMat, convexityDefects: UMat | None) -> UMat	createAlignMTB(max_bits: int, exclude_range: int, cut: bool) -> AlignMTB
						possibleSolutions	copyMakeBorder(src: cv2.typing.MatLike, top: int, bottom: int, left: int, right: int, borderType: int, dst: cv2.typing.MatLike | None, value: cv2.typing.Scalar) -> cv2.typing.MatLike	createBackgroundSubtractorKNN(history: int, dist2Threshold: float, detectShadows: bool) -> BackgroundSubtractorKNN
						pt2	copyMakeBorder(src: UMat, top: int, bottom: int, left: int, right: int, borderType: int, dst: UMat | None, value: cv2.typing.Scalar) -> UMat	createBackgroundSubtractorMOG2(history: int, varThreshold: float, detectShadows: bool) -> BackgroundSubtractorMOG2
						c	copyTo(src: cv2.typing.MatLike, mask: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	createCLAHE(clipLimit: float, tileGridSize: cv2.typing.Size) -> CLAHE
						K	copyTo(src: UMat, mask: UMat, dst: UMat | None) -> UMat	createCalibrateDebevec(samples: int, lambda_: float, random: bool) -> CalibrateDebevec
						distCoeffs1	cornerEigenValsAndVecs(src: cv2.typing.MatLike, blockSize: int, ksize: int, dst: cv2.typing.MatLike | None, borderType: int) -> cv2.typing.MatLike	createCalibrateRobertson(max_iter: int, threshold: float) -> CalibrateRobertson
						angle	cornerEigenValsAndVecs(src: UMat, blockSize: int, ksize: int, dst: UMat | None, borderType: int) -> UMat	createGeneralizedHoughBallard() -> GeneralizedHoughBallard
						sum	cornerHarris(src: cv2.typing.MatLike, blockSize: int, ksize: int, k: float, dst: cv2.typing.MatLike | None, borderType: int) -> cv2.typing.MatLike	createGeneralizedHoughGuil() -> GeneralizedHoughGuil
						sqsum	cornerHarris(src: UMat, blockSize: int, ksize: int, k: float, dst: UMat | None, borderType: int) -> UMat	createHanningWindow(winSize: cv2.typing.Size, type: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
						eigenvalues	cornerMinEigenVal(src: cv2.typing.MatLike, blockSize: int, dst: cv2.typing.MatLike | None, ksize: int, borderType: int) -> cv2.typing.MatLike	createHanningWindow(winSize: cv2.typing.Size, type: int, dst: UMat | None) -> UMat
						tvec	cornerMinEigenVal(src: UMat, blockSize: int, dst: UMat | None, ksize: int, borderType: int) -> UMat	createHausdorffDistanceExtractor(distanceFlag: int, rankProp: float) -> HausdorffDistanceExtractor
						points1	cornerSubPix(image: cv2.typing.MatLike, corners: cv2.typing.MatLike, winSize: cv2.typing.Size, zeroZone: cv2.typing.Size, criteria: cv2.typing.TermCriteria) -> cv2.typing.MatLike	createLineSegmentDetector(refine: int, scale: float, sigma_scale: float, quant: float, ang_th: float, log_eps: float, density_th: float, n_bins: int) -> LineSegmentDetector
						dt3dr2	cornerSubPix(image: UMat, corners: UMat, winSize: cv2.typing.Size, zeroZone: cv2.typing.Size, criteria: cv2.typing.TermCriteria) -> UMat	createMergeDebevec() -> MergeDebevec
						R2	correctMatches(F: cv2.typing.MatLike, points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, newPoints1: cv2.typing.MatLike | None, newPoints2: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	createMergeMertens(contrast_weight: float, saturation_weight: float, exposure_weight: float) -> MergeMertens
						t_cam2gripper	correctMatches(F: UMat, points1: UMat, points2: UMat, newPoints1: UMat | None, newPoints2: UMat | None) -> tuple[UMat, UMat]	createMergeRobertson() -> MergeRobertson
						rvec3	countNonZero(src: cv2.typing.MatLike) -> int	createTonemap(gamma: float) -> Tonemap
							countNonZero(src: UMat) -> int	createTonemapDrago(gamma: float, saturation: float, bias: float) -> TonemapDrago
							createAffineTransformer(fullAffine: bool) -> AffineTransformer	createTonemapMantiuk(gamma: float, scale: float, saturation: float) -> TonemapMantiuk
							createAlignMTB(max_bits: int, exclude_range: int, cut: bool) -> AlignMTB	createTonemapReinhard(gamma: float, intensity: float, light_adapt: float, color_adapt: float) -> TonemapReinhard
							createBackgroundSubtractorKNN(history: int, dist2Threshold: float, detectShadows: bool) -> BackgroundSubtractorKNN	cubeRoot(val: float) -> float
							createBackgroundSubtractorMOG2(history: int, varThreshold: float, detectShadows: bool) -> BackgroundSubtractorMOG2	currentUIFramework() -> str
							createCLAHE(clipLimit: float, tileGridSize: cv2.typing.Size) -> CLAHE	cvtColor(src: cv2.typing.MatLike, code: int, dst: cv2.typing.MatLike | None, dstCn: int, hint: AlgorithmHint) -> cv2.typing.MatLike
							createCalibrateDebevec(samples: int, lambda_: float, random: bool) -> CalibrateDebevec	cvtColor(src: UMat, code: int, dst: UMat | None, dstCn: int, hint: AlgorithmHint) -> UMat
							createCalibrateRobertson(max_iter: int, threshold: float) -> CalibrateRobertson	cvtColorTwoPlane(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, code: int, dst: cv2.typing.MatLike | None, hint: AlgorithmHint) -> cv2.typing.MatLike
							createChiHistogramCostExtractor(nDummies: int, defaultCost: float) -> HistogramCostExtractor	cvtColorTwoPlane(src1: UMat, src2: UMat, code: int, dst: UMat | None, hint: AlgorithmHint) -> UMat
							createEMDHistogramCostExtractor(flag: int, nDummies: int, defaultCost: float) -> HistogramCostExtractor	dct(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, flags: int) -> cv2.typing.MatLike
							createEMDL1HistogramCostExtractor(nDummies: int, defaultCost: float) -> HistogramCostExtractor	dct(src: UMat, dst: UMat | None, flags: int) -> UMat
							createGeneralizedHoughBallard() -> GeneralizedHoughBallard	decolor(src: cv2.typing.MatLike, grayscale: cv2.typing.MatLike | None, color_boost: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							createGeneralizedHoughGuil() -> GeneralizedHoughGuil	decolor(src: UMat, grayscale: UMat | None, color_boost: UMat | None) -> tuple[UMat, UMat]
							createHanningWindow(winSize: cv2.typing.Size, type: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	decomposeEssentialMat(E: cv2.typing.MatLike, R1: cv2.typing.MatLike | None, R2: cv2.typing.MatLike | None, t: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]
							createHanningWindow(winSize: cv2.typing.Size, type: int, dst: UMat | None) -> UMat	decomposeEssentialMat(E: UMat, R1: UMat | None, R2: UMat | None, t: UMat | None) -> tuple[UMat, UMat, UMat]
							createHausdorffDistanceExtractor(distanceFlag: int, rankProp: float) -> HausdorffDistanceExtractor	decomposeProjectionMatrix(projMatrix: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike | None, rotMatrix: cv2.typing.MatLike | None, transVect: cv2.typing.MatLike | None, rotMatrixX: cv2.typing.MatLike | None, rotMatrixY: cv2.typing.MatLike | None, rotMatrixZ: cv2.typing.MatLike | None, eulerAngles: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]
							createLineSegmentDetector(refine: int, scale: float, sigma_scale: float, quant: float, ang_th: float, log_eps: float, density_th: float, n_bins: int) -> LineSegmentDetector	decomposeProjectionMatrix(projMatrix: UMat, cameraMatrix: UMat | None, rotMatrix: UMat | None, transVect: UMat | None, rotMatrixX: UMat | None, rotMatrixY: UMat | None, rotMatrixZ: UMat | None, eulerAngles: UMat | None) -> tuple[UMat, UMat, UMat, UMat, UMat, UMat, UMat]
							createMergeDebevec() -> MergeDebevec	demosaicing(src: cv2.typing.MatLike, code: int, dst: cv2.typing.MatLike | None, dstCn: int) -> cv2.typing.MatLike
							createMergeMertens(contrast_weight: float, saturation_weight: float, exposure_weight: float) -> MergeMertens	demosaicing(src: UMat, code: int, dst: UMat | None, dstCn: int) -> UMat
							createMergeRobertson() -> MergeRobertson	destroyAllWindows() -> None
							createNormHistogramCostExtractor(flag: int, nDummies: int, defaultCost: float) -> HistogramCostExtractor	destroyWindow(winname: str) -> None
							createShapeContextDistanceExtractor(nAngularBins: int, nRadialBins: int, innerRadius: float, outerRadius: float, iterations: int, comparer: HistogramCostExtractor, transformer: ShapeTransformer) -> ShapeContextDistanceExtractor	detailEnhance(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, sigma_s: float, sigma_r: float) -> cv2.typing.MatLike
							createThinPlateSplineShapeTransformer(regularizationParameter: float) -> ThinPlateSplineShapeTransformer	detailEnhance(src: UMat, dst: UMat | None, sigma_s: float, sigma_r: float) -> UMat
							createTonemap(gamma: float) -> Tonemap	determinant(mtx: cv2.typing.MatLike) -> float
							createTonemapDrago(gamma: float, saturation: float, bias: float) -> TonemapDrago	determinant(mtx: UMat) -> float
							createTonemapMantiuk(gamma: float, scale: float, saturation: float) -> TonemapMantiuk	dft(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, flags: int, nonzeroRows: int) -> cv2.typing.MatLike
							createTonemapReinhard(gamma: float, intensity: float, light_adapt: float, color_adapt: float) -> TonemapReinhard	dft(src: UMat, dst: UMat | None, flags: int, nonzeroRows: int) -> UMat
							cubeRoot(val: float) -> float	dilate(src: cv2.typing.MatLike, kernel: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, anchor: cv2.typing.Point, iterations: int, borderType: int, borderValue: cv2.typing.Scalar) -> cv2.typing.MatLike
							currentUIFramework() -> str	dilate(src: UMat, kernel: UMat, dst: UMat | None, anchor: cv2.typing.Point, iterations: int, borderType: int, borderValue: cv2.typing.Scalar) -> UMat
							cvtColor(src: cv2.typing.MatLike, code: int, dst: cv2.typing.MatLike | None, dstCn: int, hint: AlgorithmHint) -> cv2.typing.MatLike	displayOverlay(winname: str, text: str, delayms: int) -> None
							cvtColor(src: UMat, code: int, dst: UMat | None, dstCn: int, hint: AlgorithmHint) -> UMat	displayStatusBar(winname: str, text: str, delayms: int) -> None
							cvtColorTwoPlane(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, code: int, dst: cv2.typing.MatLike | None, hint: AlgorithmHint) -> cv2.typing.MatLike	distanceTransform(src: cv2.typing.MatLike, distanceType: int, maskSize: int, dst: cv2.typing.MatLike | None, dstType: int) -> cv2.typing.MatLike
							cvtColorTwoPlane(src1: UMat, src2: UMat, code: int, dst: UMat | None, hint: AlgorithmHint) -> UMat	distanceTransform(src: UMat, distanceType: int, maskSize: int, dst: UMat | None, dstType: int) -> UMat
							dct(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, flags: int) -> cv2.typing.MatLike	distanceTransformWithLabels(src: cv2.typing.MatLike, distanceType: int, maskSize: int, dst: cv2.typing.MatLike | None, labels: cv2.typing.MatLike | None, labelType: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							dct(src: UMat, dst: UMat | None, flags: int) -> UMat	distanceTransformWithLabels(src: UMat, distanceType: int, maskSize: int, dst: UMat | None, labels: UMat | None, labelType: int) -> tuple[UMat, UMat]
							decolor(src: cv2.typing.MatLike, grayscale: cv2.typing.MatLike | None, color_boost: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	divSpectrums(a: cv2.typing.MatLike, b: cv2.typing.MatLike, flags: int, c: cv2.typing.MatLike | None, conjB: bool) -> cv2.typing.MatLike
							decolor(src: UMat, grayscale: UMat | None, color_boost: UMat | None) -> tuple[UMat, UMat]	divSpectrums(a: UMat, b: UMat, flags: int, c: UMat | None, conjB: bool) -> UMat
							decomposeEssentialMat(E: cv2.typing.MatLike, R1: cv2.typing.MatLike | None, R2: cv2.typing.MatLike | None, t: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]	divide(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, scale: float, dtype: int) -> cv2.typing.MatLike
							decomposeEssentialMat(E: UMat, R1: UMat | None, R2: UMat | None, t: UMat | None) -> tuple[UMat, UMat, UMat]	divide(src1: UMat, src2: UMat, dst: UMat | None, scale: float, dtype: int) -> UMat
							decomposeHomographyMat(H: cv2.typing.MatLike, K: cv2.typing.MatLike, rotations: _typing.Sequence[cv2.typing.MatLike] | None, translations: _typing.Sequence[cv2.typing.MatLike] | None, normals: _typing.Sequence[cv2.typing.MatLike] | None) -> tuple[int, _typing.Sequence[cv2.typing.MatLike], _typing.Sequence[cv2.typing.MatLike], _typing.Sequence[cv2.typing.MatLike]]	divide(scale: float, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, dtype: int) -> cv2.typing.MatLike
							decomposeHomographyMat(H: UMat, K: UMat, rotations: _typing.Sequence[UMat] | None, translations: _typing.Sequence[UMat] | None, normals: _typing.Sequence[UMat] | None) -> tuple[int, _typing.Sequence[UMat], _typing.Sequence[UMat], _typing.Sequence[UMat]]	divide(scale: float, src2: UMat, dst: UMat | None, dtype: int) -> UMat
							decomposeProjectionMatrix(projMatrix: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike | None, rotMatrix: cv2.typing.MatLike | None, transVect: cv2.typing.MatLike | None, rotMatrixX: cv2.typing.MatLike | None, rotMatrixY: cv2.typing.MatLike | None, rotMatrixZ: cv2.typing.MatLike | None, eulerAngles: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]	drawChessboardCorners(image: cv2.typing.MatLike, patternSize: cv2.typing.Size, corners: cv2.typing.MatLike, patternWasFound: bool) -> cv2.typing.MatLike
							decomposeProjectionMatrix(projMatrix: UMat, cameraMatrix: UMat | None, rotMatrix: UMat | None, transVect: UMat | None, rotMatrixX: UMat | None, rotMatrixY: UMat | None, rotMatrixZ: UMat | None, eulerAngles: UMat | None) -> tuple[UMat, UMat, UMat, UMat, UMat, UMat, UMat]	drawChessboardCorners(image: UMat, patternSize: cv2.typing.Size, corners: UMat, patternWasFound: bool) -> UMat
							demosaicing(src: cv2.typing.MatLike, code: int, dst: cv2.typing.MatLike | None, dstCn: int) -> cv2.typing.MatLike	drawFrameAxes(image: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, rvec: cv2.typing.MatLike, tvec: cv2.typing.MatLike, length: float, thickness: int) -> cv2.typing.MatLike
							demosaicing(src: UMat, code: int, dst: UMat | None, dstCn: int) -> UMat	drawFrameAxes(image: UMat, cameraMatrix: UMat, distCoeffs: UMat, rvec: UMat, tvec: UMat, length: float, thickness: int) -> UMat
							denoise_TVL1(observations: _typing.Sequence[cv2.typing.MatLike], result: cv2.typing.MatLike, lambda_: float, niters: int) -> None	drawMarker(img: cv2.typing.MatLike, position: cv2.typing.Point, color: cv2.typing.Scalar, markerType: int, markerSize: int, thickness: int, line_type: int) -> cv2.typing.MatLike
							destroyAllWindows() -> None	drawMarker(img: UMat, position: cv2.typing.Point, color: cv2.typing.Scalar, markerType: int, markerSize: int, thickness: int, line_type: int) -> UMat
							destroyWindow(winname: str) -> None	edgePreservingFilter(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, flags: int, sigma_s: float, sigma_r: float) -> cv2.typing.MatLike
							detailEnhance(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, sigma_s: float, sigma_r: float) -> cv2.typing.MatLike	edgePreservingFilter(src: UMat, dst: UMat | None, flags: int, sigma_s: float, sigma_r: float) -> UMat
							detailEnhance(src: UMat, dst: UMat | None, sigma_s: float, sigma_r: float) -> UMat	eigen(src: cv2.typing.MatLike, eigenvalues: cv2.typing.MatLike | None, eigenvectors: cv2.typing.MatLike | None) -> tuple[bool, cv2.typing.MatLike, cv2.typing.MatLike]
							determinant(mtx: cv2.typing.MatLike) -> float	eigen(src: UMat, eigenvalues: UMat | None, eigenvectors: UMat | None) -> tuple[bool, UMat, UMat]
							determinant(mtx: UMat) -> float	eigenNonSymmetric(src: cv2.typing.MatLike, eigenvalues: cv2.typing.MatLike | None, eigenvectors: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							dft(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, flags: int, nonzeroRows: int) -> cv2.typing.MatLike	eigenNonSymmetric(src: UMat, eigenvalues: UMat | None, eigenvectors: UMat | None) -> tuple[UMat, UMat]
							dft(src: UMat, dst: UMat | None, flags: int, nonzeroRows: int) -> UMat	ellipse(img: cv2.typing.MatLike, center: cv2.typing.Point, axes: cv2.typing.Size, angle: float, startAngle: float, endAngle: float, color: cv2.typing.Scalar, thickness: int, lineType: int, shift: int) -> cv2.typing.MatLike
